ID,Label
0,butterfly
1,butterfly
2,butterfly
3,butterfly
4,butterfly
5,butterfly
6,butterfly
7,butterfly
8,butterfly
9,butterfly
10,spider
11,butterfly
12,butterfly
13,butterfly
14,butterfly
15,butterfly
16,butterfly
17,butterfly
18,butterfly
19,butterfly
20,butterfly
21,butterfly
22,butterfly
23,butterfly
24,butterfly
25,butterfly
26,butterfly
27,butterfly
28,butterfly
29,butterfly
30,butterfly
31,butterfly
32,butterfly
33,butterfly
34,butterfly
35,butterfly
36,butterfly
37,butterfly
38,butterfly
39,butterfly
40,butterfly
41,butterfly
42,butterfly
43,butterfly
44,butterfly
45,butterfly
46,butterfly
47,butterfly
48,butterfly
49,butterfly
50,butterfly
51,butterfly
52,butterfly
53,butterfly
54,butterfly
55,butterfly
56,butterfly
57,butterfly
58,butterfly
59,butterfly
60,butterfly
61,butterfly
62,butterfly
63,butterfly
64,butterfly
65,butterfly
66,butterfly
67,butterfly
68,butterfly
69,butterfly
70,butterfly
71,butterfly
72,butterfly
73,butterfly
74,butterfly
75,butterfly
76,butterfly
77,butterfly
78,butterfly
79,butterfly
80,butterfly
81,butterfly
82,butterfly
83,butterfly
84,butterfly
85,butterfly
86,butterfly
87,butterfly
88,butterfly
89,butterfly
90,butterfly
91,butterfly
92,butterfly
93,butterfly
94,butterfly
95,butterfly
96,butterfly
97,butterfly
98,butterfly
99,butterfly
100,butterfly
101,butterfly
102,butterfly
103,butterfly
104,butterfly
105,butterfly
106,butterfly
107,butterfly
108,butterfly
109,butterfly
110,butterfly
111,butterfly
112,butterfly
113,butterfly
114,butterfly
115,butterfly
116,butterfly
117,butterfly
118,butterfly
119,butterfly
120,butterfly
121,butterfly
122,butterfly
123,butterfly
124,butterfly
125,butterfly
126,butterfly
127,butterfly
128,butterfly
129,butterfly
130,butterfly
131,butterfly
132,butterfly
133,butterfly
134,butterfly
135,butterfly
136,butterfly
137,butterfly
138,butterfly
139,butterfly
140,butterfly
141,butterfly
142,butterfly
143,butterfly
144,butterfly
145,butterfly
146,butterfly
147,butterfly
148,butterfly
149,butterfly
150,butterfly
151,butterfly
152,butterfly
153,butterfly
154,butterfly
155,butterfly
156,butterfly
157,butterfly
158,butterfly
159,butterfly
160,spider
161,butterfly
162,butterfly
163,butterfly
164,butterfly
165,butterfly
166,butterfly
167,butterfly
168,butterfly
169,butterfly
170,butterfly
171,butterfly
172,butterfly
173,butterfly
174,butterfly
175,butterfly
176,butterfly
177,butterfly
178,butterfly
179,butterfly
180,butterfly
181,butterfly
182,butterfly
183,butterfly
184,butterfly
185,butterfly
186,butterfly
187,butterfly
188,butterfly
189,butterfly
190,butterfly
191,butterfly
192,butterfly
193,butterfly
194,butterfly
195,butterfly
196,butterfly
197,butterfly
198,butterfly
199,butterfly
200,butterfly
201,butterfly
202,butterfly
203,butterfly
204,butterfly
205,butterfly
206,butterfly
207,butterfly
208,butterfly
209,butterfly
210,butterfly
211,butterfly
212,butterfly
213,butterfly
214,butterfly
215,butterfly
216,butterfly
217,butterfly
218,butterfly
219,butterfly
220,butterfly
221,butterfly
222,butterfly
223,butterfly
224,butterfly
225,butterfly
226,butterfly
227,butterfly
228,butterfly
229,butterfly
230,butterfly
231,butterfly
232,butterfly
233,butterfly
234,butterfly
235,butterfly
236,butterfly
237,butterfly
238,butterfly
239,butterfly
240,butterfly
241,butterfly
242,butterfly
243,butterfly
244,butterfly
245,butterfly
246,butterfly
247,butterfly
248,butterfly
249,butterfly
250,butterfly
251,butterfly
252,butterfly
253,butterfly
254,butterfly
255,butterfly
256,butterfly
257,butterfly
258,spider
259,butterfly
260,butterfly
261,butterfly
262,butterfly
263,butterfly
264,butterfly
265,butterfly
266,butterfly
267,butterfly
268,butterfly
269,butterfly
270,butterfly
271,butterfly
272,butterfly
273,butterfly
274,butterfly
275,butterfly
276,butterfly
277,butterfly
278,butterfly
279,butterfly
280,butterfly
281,butterfly
282,butterfly
283,butterfly
284,butterfly
285,butterfly
286,butterfly
287,butterfly
288,butterfly
289,butterfly
290,butterfly
291,butterfly
292,butterfly
293,butterfly
294,butterfly
295,butterfly
296,butterfly
297,butterfly
298,butterfly
299,butterfly
300,butterfly
301,butterfly
